player_id,is_werewolf,category,total_sentences,old_filter_preserved,new_filter_preserved,old_preservation_rate,new_preservation_rate
game1_Player3,True,PLAN,1,0,1,0.0,1.0
game1_Player3,True,JUSTIFICATION,2,1,2,0.5,1.0
game1_Player3,True,ASSERTION,3,0,2,0.0,0.6666666666666666
game1_Player4,False,PLAN,2,0,2,0.0,1.0
game1_Player4,False,JUSTIFICATION,1,0,1,0.0,1.0
game1_Player5,False,PLAN,1,0,1,0.0,1.0
game1_Player5,False,JUSTIFICATION,1,0,1,0.0,1.0
game1_Player5,False,ASSERTION,1,1,1,1.0,1.0
game1_Player2,False,PLAN,2,0,2,0.0,1.0
game1_Player2,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game1_Player1,False,PLAN,2,0,1,0.0,0.5
game1_Player1,False,JUSTIFICATION,1,0,1,0.0,1.0
game1_Player1,False,ASSERTION,2,0,2,0.0,1.0
game2_Player2,False,PLAN,2,1,2,0.5,1.0
game2_Player2,False,ASSERTION,1,0,1,0.0,1.0
game2_Player3,True,PLAN,1,0,1,0.0,1.0
game2_Player3,True,JUSTIFICATION,1,0,1,0.0,1.0
game2_Player3,True,ASSERTION,1,1,1,1.0,1.0
game2_Player1,False,PLAN,1,0,1,0.0,1.0
game2_Player1,False,JUSTIFICATION,1,0,1,0.0,1.0
game2_Player1,False,ASSERTION,1,0,1,0.0,1.0
game2_Player4,False,PLAN,2,1,2,0.5,1.0
game2_Player4,False,ASSERTION,3,0,2,0.0,0.6666666666666666
game2_Player5,False,PLAN,3,1,3,0.3333333333333333,1.0
game2_Player5,False,ASSERTION,2,0,2,0.0,1.0
game3_Player5,False,PLAN,2,1,2,0.5,1.0
game3_Player5,False,ASSERTION,1,0,1,0.0,1.0
game3_Player2,True,PLAN,2,0,2,0.0,1.0
game3_Player2,True,ASSERTION,1,0,1,0.0,1.0
game3_Player1,False,PLAN,2,0,1,0.0,0.5
game3_Player1,False,JUSTIFICATION,1,1,1,1.0,1.0
game3_Player1,False,ASSERTION,2,1,2,0.5,1.0
game3_Player3,False,PLAN,2,0,2,0.0,1.0
game3_Player3,False,ASSERTION,1,0,1,0.0,1.0
game3_Player4,False,PLAN,2,0,2,0.0,1.0
game3_Player4,False,ASSERTION,4,1,4,0.25,1.0
game4_Player2,False,PLAN,1,1,1,1.0,1.0
game4_Player2,False,JUSTIFICATION,1,0,1,0.0,1.0
game4_Player2,False,ASSERTION,1,1,1,1.0,1.0
game4_Player5,True,PLAN,1,1,1,1.0,1.0
game4_Player5,True,ASSERTION,2,0,2,0.0,1.0
game4_Player3,False,PLAN,1,0,1,0.0,1.0
game4_Player3,False,ASSERTION,2,0,2,0.0,1.0
game4_Player1,False,PLAN,1,0,1,0.0,1.0
game4_Player4,False,PLAN,1,0,1,0.0,1.0
game4_Player4,False,ASSERTION,1,0,1,0.0,1.0
game5_Player1,False,PLAN,2,0,2,0.0,1.0
game5_Player1,False,ASSERTION,1,0,1,0.0,1.0
game5_Player2,True,PLAN,1,0,0,0.0,0.0
game5_Player2,True,JUSTIFICATION,1,0,1,0.0,1.0
game5_Player2,True,ASSERTION,1,0,1,0.0,1.0
game5_Player3,False,PLAN,1,0,1,0.0,1.0
game5_Player3,False,ASSERTION,1,0,1,0.0,1.0
game5_Player5,False,PLAN,1,0,1,0.0,1.0
game5_Player5,False,ASSERTION,2,0,2,0.0,1.0
game5_Player4,False,JUSTIFICATION,1,0,1,0.0,1.0
game5_Player4,False,ASSERTION,1,0,1,0.0,1.0
game6_Player5,False,PLAN,2,1,2,0.5,1.0
game6_Player5,False,ASSERTION,1,0,1,0.0,1.0
game6_Player2,False,PLAN,2,1,2,0.5,1.0
game6_Player2,False,ASSERTION,1,0,1,0.0,1.0
game6_Player4,False,PLAN,3,1,1,0.3333333333333333,0.3333333333333333
game6_Player4,False,ASSERTION,2,0,2,0.0,1.0
game6_Player1,False,PLAN,3,1,2,0.3333333333333333,0.6666666666666666
game6_Player1,False,ASSERTION,3,0,3,0.0,1.0
game6_Player3,True,PLAN,1,0,1,0.0,1.0
game6_Player3,True,JUSTIFICATION,2,0,2,0.0,1.0
game6_Player3,True,ASSERTION,1,0,1,0.0,1.0
game7_Player3,False,PLAN,2,1,2,0.5,1.0
game7_Player3,False,ASSERTION,1,1,1,1.0,1.0
game7_Player5,False,ASSERTION,2,0,2,0.0,1.0
game7_Player4,False,PLAN,3,0,3,0.0,1.0
game7_Player4,False,ASSERTION,3,0,3,0.0,1.0
game7_Player2,True,PLAN,1,0,1,0.0,1.0
game7_Player2,True,JUSTIFICATION,1,0,1,0.0,1.0
game7_Player1,False,PLAN,2,1,2,0.5,1.0
game7_Player1,False,ASSERTION,2,1,2,0.5,1.0
game8_Player3,False,PLAN,1,0,1,0.0,1.0
game8_Player3,False,ASSERTION,2,0,2,0.0,1.0
game8_Player1,False,PLAN,2,0,1,0.0,0.5
game8_Player1,False,ASSERTION,1,0,1,0.0,1.0
game8_Player2,False,PLAN,2,0,2,0.0,1.0
game8_Player2,False,JUSTIFICATION,1,0,1,0.0,1.0
game8_Player2,False,ASSERTION,3,1,3,0.3333333333333333,1.0
game8_Player4,False,PLAN,3,0,3,0.0,1.0
game8_Player4,False,ASSERTION,3,1,2,0.3333333333333333,0.6666666666666666
game8_Player5,True,PLAN,1,0,1,0.0,1.0
game8_Player5,True,ASSERTION,2,1,1,0.5,0.5
game9_Player3,False,PLAN,1,0,1,0.0,1.0
game9_Player3,False,ASSERTION,2,0,2,0.0,1.0
game9_Player4,False,PLAN,1,0,0,0.0,0.0
game9_Player4,False,ASSERTION,2,0,2,0.0,1.0
game9_Player5,True,PLAN,1,1,1,1.0,1.0
game9_Player5,True,JUSTIFICATION,1,0,1,0.0,1.0
game9_Player5,True,ASSERTION,1,0,1,0.0,1.0
game9_Player1,False,PLAN,2,0,2,0.0,1.0
game9_Player1,False,ASSERTION,4,1,4,0.25,1.0
game9_Player2,False,PLAN,3,1,3,0.3333333333333333,1.0
game9_Player2,False,ASSERTION,3,0,3,0.0,1.0
game10_Player4,False,PLAN,2,1,2,0.5,1.0
game10_Player4,False,ASSERTION,1,0,1,0.0,1.0
game10_Player1,True,PLAN,2,1,2,0.5,1.0
game10_Player1,True,ASSERTION,1,1,1,1.0,1.0
game10_Player3,False,PLAN,1,0,1,0.0,1.0
game10_Player3,False,ASSERTION,2,0,2,0.0,1.0
game10_Player2,False,PLAN,4,0,4,0.0,1.0
game10_Player2,False,ASSERTION,2,1,2,0.5,1.0
game10_Player5,False,PLAN,2,0,2,0.0,1.0
game10_Player5,False,ASSERTION,3,0,3,0.0,1.0
game12_Player5,False,PLAN,1,1,1,1.0,1.0
game12_Player5,False,ASSERTION,1,0,1,0.0,1.0
game12_Player4,False,PLAN,1,1,1,1.0,1.0
game12_Player4,False,JUSTIFICATION,1,0,1,0.0,1.0
game12_Player4,False,ASSERTION,1,0,1,0.0,1.0
game12_Player1,False,PLAN,3,1,3,0.3333333333333333,1.0
game12_Player1,False,ASSERTION,3,0,3,0.0,1.0
game12_Player2,True,JUSTIFICATION,1,0,1,0.0,1.0
game12_Player3,False,PLAN,1,0,1,0.0,1.0
game12_Player3,False,JUSTIFICATION,1,1,1,1.0,1.0
game12_Player3,False,ASSERTION,2,1,2,0.5,1.0
game13_Player2,False,PLAN,2,1,2,0.5,1.0
game13_Player2,False,ASSERTION,1,0,1,0.0,1.0
game13_Player1,False,PLAN,1,1,1,1.0,1.0
game13_Player1,False,ASSERTION,2,0,1,0.0,0.5
